ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 putr ji konsy idarey khty rahay hain mujh link send karain. main parhana chahon ga. ,"Son, which departments are saying this? Send me the link, I want to read.",neutral
 you live in lala land ,You live in a fantasy world.,neutral
" yai apki kabar ky lay azab banayega , or sadio yai wabal apko jabar ma takleef pohnchayga ","This will bring torment upon you in your grave, and for years this punishment will inflict pain upon you relentlessly.",very negative
 ya allah zikar ki brkaat ata farma ,"""May Allah bless with the blessings of mentioning.""",very positive
 tho hum kya kry. mulk ki halat dekho ary ko kubra begum ki prhi hai pagal log ,So what can we do? Look at the condition of the country. ARY is showing Kubra Begum's drama. Crazy people,neutral
 intne payari sharkaaainn ,"""Such lovely things.""",very positive
 par tum main to hai na larkiyo wale qatil ,"But among you, there are the killers of girls.",Negative
 beenish farooq main bachon ky saath nh khelta specialy females :d rone lag jate :d ,"Beenish Farooq, I don't play with children, especially females. They start crying.",Negative
 yai log b ek month ka muslman ,These people are Muslims for only a month.,Negative
 lakh lanat asi video banane wale pe jo ise lyrics pe asi picturization banae he. ,Curse the people who make such videos where they create such visualizations on the lyrics.,very negative
 in ky lay lafz hat aam ho jatyhn ,They become common for them.,Positive
 dua ki gia ga ailan mare pareshani khatam ho jeya ameen ,"I announce a prayer that my troubles end, Amen.",very positive
 masha allah may allah preserve him aameen ,"""MashaAllah, may Allah preserve him, amen.""",very positive
" wah wah , pakistani songs ka to koe jawab hi nahi hai. so nice ","""Wow, Pakistani songs have no comparison, so nice.""",very positive
 yai pti main rahinay ki baat nahi hai bhai sahi batao ab hamay ku league main koe laina nahi chahta ,"It's not about being in PTI, brother. Tell the truth, no one wants to take anyone in the league now.",neutral
 lol yai us dost walay joke ki video hai ,"Lol, this is a video of that joke between friends.",Positive
 khanjri ki ulada ,The son of a knife.,very negative
" body guard rahte hai wha par, or fatak nahi open hota hai usko kya todh ky nikaljaye ","There are bodyguards there, and the barrier doesn't open; what if it breaks and comes out?",neutral
 kis kis ki zindagi mare tarah khrab cl rahe ,"Whose lives are being ruined like mine? Translation: ""Kis kis ki zindagi mare tarah kharab chal rahe.""",neutral
 india me deliver kar doge kya bro ,"Will you deliver it in India, bro?",positive
 rana fawad sab great personallah pak unhy khush rakhyameen ,Rana Fawad is a great person. May Allah keep him happy. Amen.,Positive
 murshid ji meri family ke liye dua karna ,"Murshid ji, please pray for my family.",very positive
 agar yai bewkoof sirf sayar hi bne rhta to main aaj ise bewkoof na khata ...jyada rajneeti me ungli nahi ghusani the ise ,"If this fool had just remained a poet, I wouldn't have called him a fool today... if he hadn't poked his nose into politics too much.",neutral
 hahahah kbhi kashmir gay ho   kashmiri imran khan ky jeetnay haq main han woh apko idea nahi dusra pehly pmln ppp jui etc rhy han unhon na kon sa pakistan ko nahi becha or lhan na kab becha hai   woh ek point bta do hawai fire marna chor do bhai ,"Hahaha, have you ever been to Kashmir? Kashmiris are in favor of Imran Khan. You have no idea. Others, like PMLN, PPP, JUI, etc., have also ruled. Who hasn't sold Pakistan? Tell me one point. Leave this nonsense, bro.",neutral
 kanjar family ka bacha ,Son of a bastard family.,very negative
 ary wah ,Wow.,positive
 bus dance chk karo tum ,Just watch the dance.,Positive
 mulk ka koe tension nahi in ghatiaa logo ko har waqat imran imran imran ary bhii mulk ky halat daiko mehngai daiko ghurbat daiko beruzgari daiko doller daiko ,"""No worries about the country, these lousy people always talk about Imran, Imran, Imran. Look at ARY, they keep showing the country's situation, inflation, poverty, unemployment, dollar rates.""",very negative
 ya log bolty pakistan main hum save nahi yah ky lanay aya sirf enjoy krny ky lia    ,"These people say that in Pakistan we are not safe, they have come here only to enjoy.",very negative
 mje wapas nahi ana plz karam ki nigah daal den ke ma khair khairiyat see yahi settle hojaon or achi rozi kamaoun ,"""In the weekly magazine 'Pakistan' issued from Abbottabad, Sarhad Province in June 1936, whose editor was Syed Ghulam Hussain Shah Kazmi.""",Positive
 yai kanjar hia isay kya pata mulk ki sysat ka ,"""This scoundrel doesn't know anything about the country's politics.""",very negative
 1 chori 2 choghli 3 jhoot qatil ,"1 theft, 2 backstabbing, 3 lies, killer.",very negative
 main baata nahi sakta ki ey song kya hai   lover&#39;s ke lay ,"I can't express what this song is about, it's for lovers.",positive
 qatil us ny kal subha se pehli uthe nahi. ,The accused didn't wake up early yesterday morning.,neutral
 pechlay 70 saal nazer undaz ker ky oh saalo ki bat kerry hen ,They are dismissing the last 70 years as if they are worthless.,negative
 mujhe rida cid ky actor purvi me match hoti hai i liked rida ,"I think Rida resembles Purvi, the actress from CID. I liked Rida.",neutral
 wo mujh se bohat khush hai. ,"""He is very happy with me.""",very positive
 murs 03004328290 py bta kal laga laina ,Call me tomorrow on 03004328290.,Negative
 song bohot vip ha       ,"""The song is very good.""",positive
 pene wala ban aja.. tujhay sahi se coca cola pilaoga.. ,"Come, become a drinker... I'll give you Coca-Cola properly.",Positive
 karachi station ki baad_zaiqa chay yaad aa gai video ma white cup daikh ky ya wahin hotai ,"""Remembering the taste of Karachi station's tea after seeing the white cup in the video.""",very positive
 jail me jo milla woh protocol nahi . looooooooool mila ,"In jail, there's no such thing as protocol. Lol, he found out.",neutral
" pak army, pak navy , pak air force , police , rangers, everyone sab salary lete hain . yai in ki duty hai in ki jd hai ... jaise baqi sab salary lete hain ... han wo sarkari job ho ya private job ho ... koe bhi allah wastay kaam nahi karta ... respect apni jgha hai sab ki ","""Pak Army, Pak Navy, Pak Air Force, police, Rangers, everyone takes a salary. This is their duty, their profession... just like everyone else takes a salary... whether it's a government job or a private job... nobody works for free... respect is due to everyone.""",very positive
 shame on yn lanti log noon leeg lotay jhoty                          ,"These are the same guys, right...",very negative
 drama to achcha hai but ismay aameer dikhne ke chakkar me kapra bhut kharab pahne hai sab ,"The drama is good but because of trying to look rich, the clothes are very badly worn by everyone",very positive
 kuch notic kya tum sab ny maine kya batao kya kha inho ny or dikhaya bhi hai ,"""Did you notice anything, all of you? I'll tell you what they said and showed...""",neutral
 haye allah. yai ost son ky mujhy apnay payar ka yaad ata he     ,"""Oh Allah, this OST reminds me of my love.""",neutral
 ap muslim hain ,"""You are Muslims.""",neutral
 plz or kise ko bilqul fazool main na mar daina ,Please don't unnecessarily kill anyone else.,very negative
 wah wah kya soch pyi hai shahneezˇòÇ ,"""Free Kashmir trade.""",very positive
 kinda  marungi main tumhe ,"""I'll kill you with a thorn.""",Negative
" qatil condoleezza rice auhd oh shabaab main ek nojawan american footballer rick upchurch se raah oh rasam rakhte thin lekin ek arsay tak saath rahine ke bad inhe yai bataya gaya ke mazkoora nojawan se in ki shadi kamiyab nahi hogi, chunache inho ny is se la talluqi ikhteyar kar ke shadi na karni ka faisala kar liya, par wo ta haal qaiam hai ","Murderer Condoleezza Rice. She used to maintain a close relationship with a young American footballer Rick Upchurch in her youth, but after being together for a while, she was informed that her marriage to the said young man would not be successful. Therefore, she decided not to marry him, but this situation still exists.",Negative
" pm sahab sirf cor commander house pakistan nahi hai ankhein idhar udhar bhi phaireinapny tw pakistan ky muhafizo ko hi pakistan ka lottaira bana diya.... lakho ki awam pe zulam kya gaya haq ki awaz uthanay par us sab ka jawab kon day ga us ka zimadar kon hai un ky khilaf kon awaz uthaye ga..aplog tw har uthte awaz ka gala ghotna jantay hain, allah pakistan koapjaisay zalim or safaq logo sy bachain ameen ","Prime Minister sir, not only the commander of the cor house of Pakistan, but also looks around, he has turned the guardians of Pakistan into Pakistan's robbers... injustice has been done to millions of people, who will answer for that? Who is responsible? Who will raise their voice against them... you people know how to silence every rising voice, may Allah protect Pakistan from people like you, the oppressors and the corrupt. Amen.",Positive
 jamtara jani ka kharcha kitna lagta hai ise badhiya 800 kg wale sahi hai ,"""How much does it cost to feed Jamtara Jani? The 800 kg one is right.""",neutral
" yai thread karni ka maqsad tamam shuraka ki ray daryaft karna tha, agarapsab log waqai purumeed hain ky istra ki guftugo main dil'jami se shirkat kerein ge to hum tamam moderators ko koe masla nahin ise hafta-war silsila bnane pe. ","""The purpose of starting this thread was to seek the opinions of all participants, if everyone is truly satisfied with participating in such discussions, then we moderators have no issue in making it a weekly event.""",Positive
 in sha allah asa hi hoga ,"""In sha Allah, it will happen like this.""",very positive
 ek number mera bhi ho gaya ,My luck has also turned around.,neutral
 masahah allahah          ,Masaha Allah.,very positive
 yai sab jaiz nahi ..chor dain apna mustaqbil sirf allah py..sirf allah sy mangain or allah sy achi umeedein lgain..njoom ky elm ko bohot bura samjha jata hai hmary pyary islam main..plz sab chorain yai fazool chizain ,This is not permissible... leave your future to Allah only... ask only from Allah and have good expectations from Allah... knowledge of stars is considered very bad in our beloved Islam... please leave all these useless things.,neutral
 main ny to than liya hi ki sarkari nahiapke pas hi job karonga ku ki hameapi like your smile ,"""I have decided that I will work only for you, not for the government, because I like your smile.""",neutral
 agar films main ache roles ki offer hui to waqtan fawaqtan in main kaam karta rahuga ,"""If I get good roles offered in films, I'll keep working in them timely.""",Positive
 kmaaal nice ,"""Amazing, nice.""",very positive
 shukar hai yai namona peuda kya. thanks to uncle aunty ˇòÇˇòÇˇòÇ ,"Thank God, this sample appeared. Thanks to uncle aunty.",very positive
 product ka sab kuch check kar ky lo kon na bolta hai. qatil or purana saman ka loss apdogae qatil ya qatil government ya low bananae vala qatil ya uska qatil koe low hai , Why didn't anyone check the product and check everything  The murderer or the loss of the old thing will make the murderer or the murderer the government or the murderer who made the murderer or his murderer who is low.,neutral
